ottoneu_player_id,player_name,positions,team_id,team_name,salary,roster_pct,average_salary,pro_team,fantasy_points,fantasy_points_avg,games_played,minutes,minutes_avg,points,points_avg,rebounds,rebounds_avg,assists,assists_avg,steals,steals_avg,blocks,blocks_avg,field_goal_attempts,field_goal_attempts_avg,field_goals_made,field_goals_made_avg,free_throw_attempts,free_throw_attempts_avg,free_throws_made,free_throws_made_avg,three_point_attempts,three_point_attempts_avg,three_points_made,three_points_made_avg,turnovers,turnovers_avg,fg_pct,ft_pct,three_pt_pct
51,Ziaire Williams,F,,FA,0,29.4,1.0,BKN,35,35.0,1,27,27.0,14,14.0,2,2.0,0,0.0,5,5.0,0,0.0,6,6.0,3,3.0,7,7.0,6,6.0,4,4.0,2,2.0,0,0.0,0.5,0.8571,0.5
69,Javonte Green,G,,FA,0,0.0,0.0,DET,18,18.0,1,27,27.0,11,11.0,2,2.0,1,1.0,1,1.0,0,0.0,7,7.0,4,4.0,2,2.0,2,2.0,2,2.0,1,1.0,1,1.0,0.5714,1.0,0.5
86,Kyle Anderson,F/G,,FA,0,29.4,1.2,UTA,49,49.0,1,32,32.0,22,22.0,8,8.0,1,1.0,2,2.0,2,2.0,10,10.0,8,8.0,7,7.0,6,6.0,0,0.0,0,0.0,2,2.0,0.8,0.8571,0.0
128,Precious Achiuwa,F,,FA,0,5.9,1.0,SAC,32,32.0,1,22,22.0,14,14.0,3,3.0,2,2.0,2,2.0,1,1.0,9,9.0,5,5.0,2,2.0,2,2.0,4,4.0,2,2.0,1,1.0,0.5556,1.0,0.5
139,Dorian Finney-Smith,F,,FA,0,11.8,1.0,HOU,5,5.0,1,16,16.0,0,0.0,3,3.0,1,1.0,1,1.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0.0,0.0,0.0
163,Klay Thompson,G,,FA,0,70.6,3.58,DAL,16,16.0,1,14,14.0,9,9.0,2,2.0,1,1.0,1,1.0,0,0.0,9,9.0,4,4.0,0,0.0,0,0.0,5,5.0,1,1.0,0,0.0,0.4444,0.0,0.2
296,Aaron Holiday,G,,FA,0,0.0,0.0,HOU,5,5.0,1,4,4.0,3,3.0,0,0.0,1,1.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,0,0.0,2,2.0,1,1.0,0,0.0,0.5,0.0,0.5
373,Nicolas Batum,G/F,,FA,0,0.0,0.0,LAC,24,24.0,1,28,28.0,14,14.0,2,2.0,1,1.0,1,1.0,0,0.0,6,6.0,4,4.0,2,2.0,2,2.0,6,6.0,4,4.0,0,0.0,0.6667,1.0,0.6667
436,Paul Reed,F,,FA,0,5.9,1.0,DET,27,27.0,1,13,13.0,9,9.0,7,7.0,1,1.0,2,2.0,0,0.0,4,4.0,4,4.0,2,2.0,1,1.0,0,0.0,0,0.0,1,1.0,1.0,0.5,0.0
1426,Jordan Miller,G,,FA,0,5.9,1.0,LAC,2,2.0,1,2,2.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
