bref_id,PLAYER_ID,stats_player_id,espn_id,PLAYER_NAME,Team,team_g,stats_team_id
dortlu01,1629652,1134693,4397020,Luguentz Dort,OKC,33,25
doncilu01,1629029,1121277,3945274,Luka Doncic,DAL,33,6
garzalu01,1630568,1061057,4277951,Luka Garza,DET,32,8
kennalu01,1628379,887661,3913174,Luke Kennard,LAC,34,12
kornelu01,1628436,745923,3064560,Luke Kornet,CLE,34,5
flynnma01,1630201,946878,4066668,Malachi Flynn,TOR,31,28
brogdma01,1627763,601146,2566769,Malcolm Brogdon,IND,34,11
hillma01,1630792,741929,3056245,Malcolm Hill,ATL,33,1
beaslma01,1627736,879503,3907822,Malik Beasley,MIN,34,16
fittsma01,1630238,922397,4066467,Malik Fitts,UTA,33,26
monkma01,1628370,957492,4066262,Malik Monk,LAL,35,13
garrema01,1630585,1060962,4277892,Marcus Garrett,MIA,35,14
morrima03,202694,469089,6462,Marcus Morris Sr.,LAC,34,12
smartma01,203935,697132,2990992,Marcus Smart,BOS,34,2
morrima02,202693,469085,6461,Markieff Morris,MIA,35,14
simonma01,1630250,1257429,4683622,Marko Simonovic,CHI,31,4
howarma02,1630210,922379,4065805,Markus Howard,DEN,33,7
chrisma01,1627737,884141,3907487,Marquese Chriss,DAL,33,6
baglema01,1628963,1076209,4277848,Marvin Bagley III,SAC,35,23
jonesma05,1630222,1134017,4395704,Mason Jones,LAL,35,13
plumlma01,203486,510790,2488653,Mason Plumlee,CHO,35,5312
thybuma01,1629680,884169,3907498,Matisse Thybulle,PHI,34,20
moonema01,1629760,846853,3149036,Matt Mooney,NYK,34,18
thomama02,1629744,741012,3059311,Matt Thomas,CHI,31,4
harklma01,203090,609843,6591,Maurice Harkless,SAC,35,23
strusma01,1629622,936502,4065778,Max Strus,MIA,35,14
klebima01,1628467,1072048,2960236,Maxi Kleber,DAL,33,6
wrighmc01,1630593,1061526,4278507,McKinley Wright IV,MIN,34,16
portemi01,1629008,1061724,4278104,Michael Porter Jr.,DEN,33,7
bridgmi01,1628969,846400,3147657,Mikal Bridges,PHO,33,21
conlemi01,201144,329468,3195,Mike Conley,UTA,33,26
muscami01,203488,520388,2490089,Mike Muscala,OKC,33,25
bridgmi02,1628970,957479,4066383,Miles Bridges,CHO,35,5312
mcbrimi01,1630540,1175084,4431823,Miles McBride,NYK,34,18
robinmi01,1629011,1076265,4351852,Mitchell Robinson,NYK,34,18
onimi01,1629671,953941,4066851,Miye Oni,UTA,33,26
bambamo01,1628964,1071928,4277919,Mo Bamba,ORL,35,19
morrimo01,1628420,741011,3059310,Monte Morris,DEN,33,7
harremo01,1626149,698651,2991055,Montrezl Harrell,WAS,34,27
wagnemo01,1629021,882387,3150844,Moritz Wagner,ORL,35,19
brownmo01,1629650,1134769,4397126,Moses Brown,DAL,33,6
moodymo01,1630541,1231366,4432171,Moses Moody,GSW,34,9
wrighmo01,1630589,1060920,4277871,Moses Wright,LAC,34,12
muldemy01,1628539,891351,3936298,Mychal Mulder,ORL,35,19
powelmy01,1629619,936657,4065816,Myles Powell,PHI,34,20
turnemy01,1626167,843762,3133628,Myles Turner,IND,34,11
marshna01,1630230,1060704,4278594,Naji Marshall,NOP,35,3
littlna01,1629642,1138391,4395652,Nassir Little,POR,33,22
knighna01,1630233,953887,4067325,Nathan Knight,MIN,34,16
reidna01,1629675,1137200,4396971,Naz Reid,MIN,34,16
quetane01,1629674,1142902,4397424,Neemias Queta,SAC,35,23
bjeline01,202357,550431,4269,Nemanja Bjelica,GSW,34,9
noelne01,203457,699947,2991280,Nerlens Noel,NYK,34,18
claxtni01,1629651,1061682,4278067,Nic Claxton,BRK,32,17
richani01,1630208,1067853,4278076,Nick Richards,CHO,35,5312
alexani01,1629638,1067668,4278039,Nickeil Alexander-Walker,NOP,35,3
