bref_id,PLAYER_ID,stats_player_id,espn_id,PLAYER_NAME,Team,team_g,stats_team_id
wrighde01,1626153,744102,3064447,Delon Wright,ATL,33,1
avdijde01,1630166,1257422,4683021,Deni Avdija,WAS,34,27
schrode01,203471,739958,3032979,Dennis Schroder,BOS,34,2
smithde03,1628372,942015,4065697,Dennis Smith Jr.,POR,33,22
valende01,1627756,712595,2999549,Denzel Valentine,CLE,34,5
favorde01,202324,502808,4257,Derrick Favors,OKC,33,25
jonesde02,1627884,892925,3936099,Derrick Jones Jr.,CHI,31,4
rosede01,201565,399612,3456,Derrick Rose,NYK,34,18
waltode01,1628476,741934,3056273,Derrick Walton Jr.,DET,32,8
whitede01,1628401,796009,3078576,Derrick White,SAS,33,24
banede01,1630217,944263,4066320,Desmond Bane,MEM,35,29
bookede01,1626164,845564,3136193,Devin Booker,PHO,33,21
vassede01,1630170,1132051,4395630,Devin Vassell,SAS,33,24
dotsode01,1629653,1132829,4397016,Devon Dotson,CHI,31,4
cacokde01,1629719,899762,3946974,Devontae Cacok,SAS,33,24
grahade01,1628984,843228,3133601,Devonte' Graham,NOP,35,3
dedmode01,203473,606642,2580913,Dewayne Dedmon,MIA,35,14
louzama01,1629712,1172136,4423885,Didi Louzada,NOP,35,3
brookdi01,1628415,854601,3155526,Dillon Brooks,MEM,35,29
sabondo01,1627734,850111,3155942,Domantas Sabonis,IND,34,11
mitchdo01,1628378,879707,3908809,Donovan Mitchell,UTA,33,26
divindo01,1628978,887915,3934673,Donte DiVincenzo,MIL,36,15
finnedo01,1627827,606701,2578185,Dorian Finney-Smith,DAL,33,6
mcderdo01,203926,554804,2528588,Doug McDermott,SAS,33,24
greendr01,203110,468895,6589,Draymond Green,GSW,34,9
eubandr01,1629234,883573,3914285,Drew Eubanks,SAS,33,24
washidu02,1630613,1133864,4397235,Duane Washington Jr.,IND,34,11
robindu01,1629130,854591,3157465,Duncan Robinson,MIA,35,14
howardw01,2730,253975,2384,Dwight Howard,LAL,35,13
poweldw01,203939,552309,2531367,Dwight Powell,DAL,33,6
windldy01,1629685,895530,3906786,Dylan Windler,CLE,34,5
davised01,202334,462458,4259,Ed Davis,CLE,34,5
paytoel01,203901,608661,2583639,Elfrid Payton,PHO,33,21
hugheel01,1630190,950031,4066446,Elijah Hughes,UTA,33,26
mudiaem01,1626144,877870,3892818,Emmanuel Mudiay,SAC,35,23
kanteen01,202683,553574,6447,Enes Freedom,BOS,34,2
bledser01,202339,509449,4238,Eric Bledsoe,LAC,34,12
gordoer01,201569,401085,3431,Eric Gordon,HOU,35,10
pascher01,1629672,846627,3133817,Eric Paschall,UTA,33,26
omorueu01,1630647,945123,4066410,Eugene Omoruyi,DAL,33,NA
fournev01,203095,659767,6588,Evan Fournier,NYK,34,18
mobleev01,1630596,1231862,4432158,Evan Mobley,CLE,34,5
campafa01,1630267,661004,2968334,Facundo Campazzo,DEN,33,7
jacksfr01,1628402,937667,4065651,Frank Jackson,DET,32,8
kaminfr01,1626163,606731,2579294,Frank Kaminsky,PHO,33,21
ntilila01,1628373,1056995,4230547,Frank Ntilikina,DAL,33,6
wagnefr01,1630532,1178131,4566434,Franz Wagner,ORL,35,19
vanvlfr01,1627832,707832,2991230,Fred VanVleet,TOR,31,28
gillefr01,1630273,1081840,4277886,Freddie Gillespie,ORL,35,19
korkmfu01,1627788,920092,3929325,Furkan Korkmaz,PHI,34,20
vincega01,1629216,851253,3137259,Gabe Vincent,MIA,35,14
deckga01,1630466,923135,3929321,Gabriel Deck,OKC,33,25
templga01,202066,263903,4023,Garrett Temple,NOP,35,3
mathega01,1629726,888431,3913180,Garrison Mathews,HOU,35,10
clarkga01,1629109,842169,3132042,Gary Clark,NOP,35,3
harriga01,203914,712593,2999547,Gary Harris,ORL,35,19
paytoga02,1627780,846407,3134903,Gary Payton II,GSW,34,9
trentga02,1629018,1060908,4277843,Gary Trent Jr.,TOR,31,28
hillge01,201588,277552,3438,George Hill,MIL,36,15
kingge03,1628994,742864,3064320,George King,DAL,33,6
niangge01,1627777,679381,2990969,Georges Niang,PHI,34,20
kalaige01,1630686,1323544,4683022,Georgios Kalaitzakis,MIL,36,NA
antetgi01,203507,739957,3032977,Giannis Antetokounmpo,MIL,36,15
bitadgo01,1629048,1172132,4348700,Goga Bitadze,IND,34,11
dragigo01,201609,456456,3423,Goran Dragic,TOR,31,28
haywago01,202330,477667,4249,Gordon Hayward,CHO,35,5312
dienggo01,203476,553158,2534781,Gorgui Dieng,ATL,33,1
willigr01,1629684,949273,4066218,Grant Williams,BOS,34,2
allengr01,1628960,842296,3135045,Grayson Allen,MIL,36,15
browngr01,1630535,1243740,4432161,Greg Brown III,POR,33,22
monrogr01,202328,467468,4260,Greg Monroe,MIN,34,16
diallha01,1628977,970444,4080610,Hamidou Diallo,DET,32,8
barneha02,203084,552336,6578,Harrison Barnes,SAC,35,23
whiteha01,202355,513234,4262,Hassan Whiteside,UTA,33,26
graveha01,1629755,949192,4066221,Hassani Gravett,ORL,35,19
joneshe01,1630529,1061638,4277813,Herbert Jones,NOP,35,3
